"rawTimeSeries","datesVector"
574.117004394531,2001-06-06
473.391494750977,2001-06-14
601.828979492188,2001-06-22
623.429992675781,2001-06-30
659.646514892578,2001-07-08
627.600006103516,2001-07-16
700.356018066406,2001-07-24
687.216003417969,2001-08-01
558.523010253906,2001-08-09
NA,2001-08-17
600.116485595703,2001-08-25
581.4580078125,2001-09-02
435.814010620117,2001-09-10
NA,2001-09-18
730.390014648438,2001-09-26
690.97998046875,2001-10-04
NA,2001-10-12
NA,2001-10-20
449.065505981445,2001-10-28
372.393005371094,2001-11-05
237.358993530273,2001-11-13
352.171997070312,2001-11-21
337.630004882812,2001-11-29
392.556503295898,2001-12-07
330.399993896484,2001-12-15
423.881500244141,2001-12-23
485.850006103516,2002-01-05
389.299499511719,2002-01-13
355.795989990234,2002-01-21
NA,2002-01-29
297.639999389648,2002-02-06
332.385513305664,2002-02-14
375.378509521484,2002-02-22
412.699996948242,2002-03-02
311.651504516602,2002-03-10
338.085494995117,2002-03-18
336.485000610352,2002-03-26
339.755493164062,2002-04-03
436.717483520508,2002-04-11
386.160507202148,2002-04-19
386.394012451172,2002-04-27
407.852493286133,2002-05-05
451.154510498047,2002-05-13
263.484985351562,2002-05-21
332.854507446289,2002-05-29
331.797988891602,2002-06-06
393.945495605469,2002-06-14
381.396499633789,2002-06-22
399.01399230957,2002-06-30
462.147003173828,2002-07-08
464.839996337891,2002-07-16
524.602996826172,2002-07-24
590.828002929688,2002-08-01
585.786499023438,2002-08-09
515.224014282227,2002-08-17
652.013000488281,2002-08-25
546.596984863281,2002-09-02
506.457504272461,2002-09-10
613.775024414062,2002-09-18
529.084503173828,2002-09-26
463.042495727539,2002-10-04
519.884521484375,2002-10-12
418.561508178711,2002-10-20
474.545989990234,2002-10-28
558.611022949219,2002-11-05
488.08349609375,2002-11-13
422.461502075195,2002-11-21
347.623001098633,2002-11-29
NA,2002-12-07
NA,2002-12-15
557.862976074219,2002-12-23
NA,2003-01-05
NA,2003-01-13
459.169509887695,2003-01-21
380.353012084961,2003-01-29
342.191009521484,2003-02-06
350.977996826172,2003-02-14
357.156005859375,2003-02-22
293.9375,2003-03-02
NA,2003-03-10
384.641998291016,2003-03-18
377.351501464844,2003-03-26
394.168502807617,2003-04-03
457.811004638672,2003-04-11
404.009506225586,2003-04-19
336.15950012207,2003-04-27
NA,2003-05-05
619.685485839844,2003-05-13
466.829010009766,2003-05-21
